"PLU_SAP60";"store_id";"PredictionDay";"ReferenceDay";"FinalForecast"
"00000000000000966679";"0067";2023-12-17;2023-12-01;"00000000000000003.30"
"00000000000000966668";"0067";2023-12-17;2023-12-01;"00000000000000085.67"
"00000000000000632861";"0067";2023-12-13;2023-12-01;"00000000000000001.12"
"00000000000000966668";"0067";2023-12-19;2023-12-01;"00000000000000056.01"
"00000000000000966669";"0067";2023-12-19;2023-12-01;"00000000000000056.99"
"00000000000000966670";"0067";2023-12-19;2023-12-01;"00000000000000007.99"
"00000000000000655130";"0067";2023-12-04;2023-12-01;"00000000000000010.07"
"00000000000000966668";"0067";2023-12-04;2023-12-01;"00000000000000058.77"
"00000000000000632861";"0067";2023-12-06;2023-12-01;"00000000000000001.16"
"00000000000000626218";"0067";2023-12-03;2023-12-01;"00000000000000003.88"
"00000000000000966668";"0067";2023-12-03;2023-12-01;"00000000000000084.69"
"00000000000000631234";"0067";2023-12-24;2023-12-01;"00000000000000000.55"
"00000000000000626218";"0067";2023-12-22;2023-12-01;"00000000000000003.06"
"00000000000000655130";"0067";2023-12-14;2023-12-01;"00000000000000012.57"
"00000000000000631234";"0067";2023-12-14;2023-12-01;"00000000000000000.04"
"00000000000000638771";"0067";2023-12-24;2023-12-01;"00000000000000017.84"
"00000000000000966668";"0067";2023-12-24;2023-12-01;"00000000000000099.40"
"00000000000000626218";"0067";2023-12-01;2023-12-01;"00000000000000003.30"
"00000000000000631234";"0067";2023-12-26;2023-12-01;"00000000000000000.68"
"00000000000000626218";"0067";2023-12-08;2023-12-01;"00000000000000003.31"
"00000000000000966679";"0067";2023-12-02;2023-12-01;"00000000000000003.54"
"00000000000000655130";"0067";2023-12-13;2023-12-01;"00000000000000010.88"
"00000000000000966679";"0067";2023-12-09;2023-12-01;"00000000000000003.32"
"00000000000000626218";"0067";2023-12-15;2023-12-01;"00000000000000003.08"
"00000000000000966679";"0067";2023-12-24;2023-12-01;"00000000000000003.34"
"00000000000000638771";"0067";2023-12-11;2023-12-01;"00000000000000015.92"
"00000000000000638771";"0067";2023-12-17;2023-12-01;"00000000000000018.19"
"00000000000000655130";"0067";2023-12-01;2023-12-01;"00000000000000006.51"
"00000000000000966668";"0067";2023-12-14;2023-12-01;"00000000000000055.08"
"00000000000000626218";"0067";2023-12-21;2023-12-01;"00000000000000002.64"
"00000000000000966668";"0067";2023-12-21;2023-12-01;"00000000000000053.76"
"00000000000000655130";"0067";2023-12-06;2023-12-01;"00000000000000010.79"
"00000000000000966679";"0067";2023-12-19;2023-12-01;"00000000000000003.18"
"00000000000000626218";"0067";2023-12-16;2023-12-01;"00000000000000003.18"
"00000000000000966668";"0067";2023-12-20;2023-12-01;"00000000000000055.07"
"00000000000000966669";"0067";2023-12-20;2023-12-01;"00000000000000056.32"
"00000000000000966679";"0067";2023-12-20;2023-12-01;"00000000000000003.13"
"00000000000000966669";"0067";2023-12-18;2023-12-01;"00000000000000059.58"
"00000000000000966670";"0067";2023-12-18;2023-12-01;"00000000000000007.98"
"00000000000000632861";"0067";2023-12-21;2023-12-01;"00000000000000001.13"
"00000000000000638771";"0067";2023-12-26;2023-12-01;"00000000000000012.76"
"00000000000000631234";"0067";2023-12-18;2023-12-01;"00000000000000000.03"
"00000000000000632861";"0067";2023-12-18;2023-12-01;"00000000000000001.08"
"00000000000000655130";"0067";2023-12-08;2023-12-01;"00000000000000019.13"
"00000000000000966668";"0067";2023-12-16;2023-12-01;"00000000000000068.86"
"00000000000000966669";"0067";2023-12-16;2023-12-01;"00000000000000087.73"
"00000000000000966670";"0067";2023-12-16;2023-12-01;"00000000000000008.37"
"00000000000000631234";"0067";2023-12-23;2023-12-01;"00000000000000000.41"
"00000000000000631234";"0067";2023-12-10;2023-12-01;"00000000000000000.04"
"00000000000000632861";"0067";2023-12-17;2023-12-01;"00000000000000001.49"
"00000000000000638771";"0067";2023-12-12;2023-12-01;"00000000000000016.67"
"00000000000000626218";"0067";2023-12-05;2023-12-01;"00000000000000002.86"
"00000000000000632861";"0067";2023-12-05;2023-12-01;"00000000000000001.19"
"00000000000000966668";"0067";2023-12-15;2023-12-01;"00000000000000062.87"
"00000000000000966669";"0067";2023-12-15;2023-12-01;"00000000000000072.20"
"00000000000000966670";"0067";2023-12-15;2023-12-01;"00000000000000008.43"
"00000000000000631234";"0067";2023-12-19;2023-12-01;"00000000000000000.04"
"00000000000000966669";"0067";2023-12-17;2023-12-01;"00000000000000098.75"
"00000000000000966670";"0067";2023-12-17;2023-12-01;"00000000000000008.51"
"00000000000000632861";"0067";2023-12-22;2023-12-01;"00000000000000001.42"
"00000000000000632861";"0067";2023-12-19;2023-12-01;"00000000000000001.07"
"00000000000000626218";"0067";2023-12-23;2023-12-01;"00000000000000003.40"
"00000000000000626218";"0067";2023-12-24;2023-12-01;"00000000000000004.01"
"00000000000000631234";"0067";2023-12-12;2023-12-01;"00000000000000000.03"
"00000000000000632861";"0067";2023-12-20;2023-12-01;"00000000000000001.08"
"00000000000000966669";"0067";2023-12-09;2023-12-01;"00000000000000087.15"
"00000000000000966670";"0067";2023-12-09;2023-12-01;"00000000000000008.63"
"00000000000000966679";"0067";2023-12-06;2023-12-01;"00000000000000003.31"
"00000000000000966669";"0067";2023-12-01;2023-12-01;"00000000000000071.94"
"00000000000000966670";"0067";2023-12-01;2023-12-01;"00000000000000009.44"
"00000000000000966679";"0067";2023-12-03;2023-12-01;"00000000000000003.54"
"00000000000000966669";"0067";2023-12-03;2023-12-01;"00000000000000095.69"
"00000000000000966670";"0067";2023-12-03;2023-12-01;"00000000000000009.22"
"00000000000000966670";"0067";2023-12-11;2023-12-01;"00000000000000007.96"
"00000000000000655130";"0067";2023-12-26;2023-12-01;"00000000000000005.05"
"00000000000000966668";"0067";2023-12-01;2023-12-01;"00000000000000063.09"
"00000000000000626218";"0067";2023-12-06;2023-12-01;"00000000000000002.83"
"00000000000000638771";"0067";2023-12-06;2023-12-01;"00000000000000017.49"
"00000000000000632861";"0067";2023-12-07;2023-12-01;"00000000000000001.15"
"00000000000000966668";"0067";2023-12-05;2023-12-01;"00000000000000057.38"
"00000000000000966669";"0067";2023-12-05;2023-12-01;"00000000000000055.56"
"00000000000000966668";"0067";2023-12-08;2023-12-01;"00000000000000065.52"
"00000000000000966669";"0067";2023-12-08;2023-12-01;"00000000000000074.78"
"00000000000000966670";"0067";2023-12-08;2023-12-01;"00000000000000008.74"
"00000000000000655130";"0067";2023-12-24;2023-12-01;"00000000000000012.84"
"00000000000000966679";"0067";2023-12-07;2023-12-01;"00000000000000003.17"
"00000000000000632861";"0067";2023-12-04;2023-12-01;"00000000000000001.20"
"00000000000000631234";"0067";2023-12-01;2023-12-01;"00000000000000000.04"
"00000000000000632861";"0067";2023-12-01;2023-12-01;"00000000000000001.37"
"00000000000000632861";"0067";2023-12-12;2023-12-01;"00000000000000001.14"
"00000000000000966668";"0067";2023-12-02;2023-12-01;"00000000000000068.08"
"00000000000000966669";"0067";2023-12-02;2023-12-01;"00000000000000085.59"
"00000000000000966670";"0067";2023-12-02;2023-12-01;"00000000000000009.21"
"00000000000000631234";"0067";2023-12-21;2023-12-01;"00000000000000000.09"
"00000000000000638771";"0067";2023-12-16;2023-12-01;"00000000000000020.80"
"00000000000000638771";"0067";2023-12-19;2023-12-01;"00000000000000016.38"
"00000000000000655130";"0067";2023-12-17;2023-12-01;"00000000000000014.05"
"00000000000000966679";"0067";2023-12-08;2023-12-01;"00000000000000003.48"
"00000000000000638771";"0067";2023-12-03;2023-12-01;"00000000000000019.85"
"00000000000000626218";"0067";2023-12-19;2023-12-01;"00000000000000002.78"
"00000000000000966670";"0067";2023-12-13;2023-12-01;"00000000000000007.97"
"00000000000000632861";"0067";2023-12-26;2023-12-01;"00000000000000001.72"
"00000000000000631234";"0067";2023-12-03;2023-12-01;"00000000000000000.03"
"00000000000000626218";"0067";2023-12-13;2023-12-01;"00000000000000002.66"
"00000000000000632861";"0067";2023-12-16;2023-12-01;"00000000000000001.29"
"00000000000000966679";"0067";2023-12-15;2023-12-01;"00000000000000003.40"
"00000000000000655130";"0067";2023-12-19;2023-12-01;"00000000000000011.55"
"00000000000000638771";"0067";2023-12-18;2023-12-01;"00000000000000015.93"
"00000000000000966669";"0067";2023-12-23;2023-12-01;"00000000000000100.61"
"00000000000000966670";"0067";2023-12-23;2023-12-01;"00000000000000008.84"
"00000000000000966679";"0067";2023-12-01;2023-12-01;"00000000000000003.78"
"00000000000000626218";"0067";2023-12-17;2023-12-01;"00000000000000003.75"
"00000000000000631234";"0067";2023-12-20;2023-12-01;"00000000000000000.05"
"00000000000000631234";"0067";2023-12-22;2023-12-01;"00000000000000000.20"
"00000000000000626218";"0067";2023-12-07;2023-12-01;"00000000000000002.76"
"00000000000000631234";"0067";2023-12-13;2023-12-01;"00000000000000000.03"
"00000000000000632861";"0067";2023-12-11;2023-12-01;"00000000000000001.12"
"00000000000000966679";"0067";2023-12-11;2023-12-01;"00000000000000003.25"
"00000000000000655130";"0067";2023-12-18;2023-12-01;"00000000000000010.62"
"00000000000000655130";"0067";2023-12-22;2023-12-01;"00000000000000020.16"
"00000000000000631234";"0067";2023-12-11;2023-12-01;"00000000000000000.03"
"00000000000000626218";"0067";2023-12-18;2023-12-01;"00000000000000002.94"
"00000000000000655130";"0067";2023-12-21;2023-12-01;"00000000000000014.19"
"00000000000000655130";"0067";2023-12-20;2023-12-01;"00000000000000012.07"
"00000000000000632861";"0067";2023-12-02;2023-12-01;"00000000000000001.40"
"00000000000000638771";"0067";2023-12-02;2023-12-01;"00000000000000023.01"
"00000000000000638771";"0067";2023-12-21;2023-12-01;"00000000000000016.94"
"00000000000000632861";"0067";2023-12-09;2023-12-01;"00000000000000001.35"
"00000000000000638771";"0067";2023-12-09;2023-12-01;"00000000000000021.50"
"00000000000000638771";"0067";2023-12-14;2023-12-01;"00000000000000017.05"
"00000000000000638771";"0067";2023-12-05;2023-12-01;"00000000000000017.79"
"00000000000000966668";"0067";2023-12-12;2023-12-01;"00000000000000055.97"
"00000000000000966669";"0067";2023-12-12;2023-12-01;"00000000000000055.54"
"00000000000000966670";"0067";2023-12-12;2023-12-01;"00000000000000008.05"
"00000000000000631234";"0067";2023-12-06;2023-12-01;"00000000000000000.04"
"00000000000000631234";"0067";2023-12-15;2023-12-01;"00000000000000000.04"
"00000000000000631234";"0067";2023-12-09;2023-12-01;"00000000000000000.04"
"00000000000000966668";"0067";2023-12-09;2023-12-01;"00000000000000069.93"
"00000000000000966669";"0067";2023-12-21;2023-12-01;"00000000000000056.72"
"00000000000000966670";"0067";2023-12-21;2023-12-01;"00000000000000007.74"
"00000000000000966670";"0067";2023-12-05;2023-12-01;"00000000000000008.62"
"00000000000000631234";"0067";2023-12-04;2023-12-01;"00000000000000000.03"
