"PLU_SAP60";"store_id";"PredictionDay";"ReferenceDay";"FinalForecast"
" 000000000000626218.";"0332";"2023-12-21";"2023-12-18";" 0000000000000002.08"
" 000000000000966668.";"0328";"2023-12-18";"2023-12-18";" 0000000000000055.05"
" 000000000000966669.";"0328";"2023-12-18";"2023-12-18";" 0000000000000045.90"
" 000000000000632861.";"0067";"2023-12-21";"2023-12-18";" 0000000000000001.01"
" 000000000000649587.";"0067";"2023-12-21";"2023-12-18";" 0000000000000012.79"
" 000000000000858091.";"0328";"2023-12-24";"2023-12-18";" 0000000000000011.73"
" 000000000000966679.";"0328";"2023-12-24";"2023-12-18";" 0000000000000005.72"
" 000000000000966679.";"0067";"2023-12-28";"2023-12-18";" 0000000000000003.75"
" 000000000000632861.";"0486";"2024-01-03";"2023-12-18";" 0000000000000001.82"
" 000000000000638771.";"0486";"2024-01-03";"2023-12-18";" 0000000000000011.75"
" 000000000000626218.";"0486";"2023-12-19";"2023-12-18";" 0000000000000001.26"
" 000000000000571581.";"0486";"2023-12-28";"2023-12-18";" 0000000000000000.64"
" 000000000000571581.";"0486";"2023-12-26";"2023-12-18";" 0000000000000000.55"
" 000000000000966668.";"0486";"2023-12-26";"2023-12-18";" 0000000000000018.87"
" 000000000000966669.";"0486";"2023-12-26";"2023-12-18";" 0000000000000029.33"
" 000000000000966670.";"0486";"2023-12-26";"2023-12-18";" 0000000000000005.76"
" 000000000000966679.";"0067";"2023-12-21";"2023-12-18";" 0000000000000003.69"
" 000000000000638484.";"0978";"2024-01-07";"2023-12-18";" 0000000000000000.24"
" 000000000000638484.";"0332";"2024-01-09";"2023-12-18";" 0000000000000002.37"
" 000000000000638771.";"0332";"2024-01-09";"2023-12-18";" 0000000000000010.47"
" 000000000000638484.";"0328";"2024-01-02";"2023-12-18";" 0000000000000000.34"
" 000000000000626218.";"0328";"2023-12-26";"2023-12-18";" 0000000000000004.03"
" 000000000000638771.";"0328";"2024-01-04";"2023-12-18";" 0000000000000038.90"
" 000000000000858091.";"0486";"2024-01-03";"2023-12-18";" 0000000000000002.19"
" 000000000000966669.";"0486";"2024-01-03";"2023-12-18";" 0000000000000029.92"
" 000000000000966670.";"0486";"2024-01-03";"2023-12-18";" 0000000000000005.88"
" 000000000000966679.";"0486";"2024-01-03";"2023-12-18";" 0000000000000002.13"
" 000000000000966679.";"0332";"2023-12-31";"2023-12-18";" 0000000000000002.39"
" 000000000000632861.";"0067";"2023-12-28";"2023-12-18";" 0000000000000001.06"
" 000000000000638484.";"0328";"2024-01-11";"2023-12-18";" 0000000000000000.33"
" 000000000000638771.";"0328";"2024-01-11";"2023-12-18";" 0000000000000031.80"
" 000000000000571581.";"0328";"2023-12-26";"2023-12-18";" 0000000000000020.62"
" 000000000000638484.";"0978";"2024-01-09";"2023-12-18";" 0000000000000000.19"
" 000000000000966668.";"0328";"2023-12-21";"2023-12-18";" 0000000000000050.61"
" 000000000000649587.";"0067";"2023-12-20";"2023-12-18";" 0000000000000012.00"
" 000000000000571581.";"0486";"2023-12-18";"2023-12-18";" 0000000000000000.38"
" 000000000000966668.";"0486";"2023-12-28";"2023-12-18";" 0000000000000018.30"
" 000000000000571581.";"0328";"2023-12-30";"2023-12-18";" 0000000000000033.40"
" 000000000000632861.";"0328";"2023-12-30";"2023-12-18";" 0000000000000001.21"
" 000000000000638484.";"0328";"2023-12-30";"2023-12-18";" 0000000000000000.49"
" 000000000000626218.";"0332";"2023-12-30";"2023-12-18";" 0000000000000002.59"
" 000000000000858091.";"0332";"2023-12-20";"2023-12-18";" 0000000000000002.91"
" 000000000000638771.";"0978";"2023-12-21";"2023-12-18";" 0000000000000008.05"
" 000000000000638771.";"0332";"2023-12-21";"2023-12-18";" 0000000000000009.15"
" 000000000000638771.";"0067";"2024-01-09";"2023-12-18";" 0000000000000016.92"
" 000000000000649587.";"0067";"2024-01-09";"2023-12-18";" 0000000000000003.84"
" 000000000000626218.";"0332";"2024-01-05";"2023-12-18";" 0000000000000002.30"
" 000000000000626218.";"0486";"2023-12-23";"2023-12-18";" 0000000000000001.89"
" 000000000000626218.";"0332";"2024-01-02";"2023-12-18";" 0000000000000001.96"
" 000000000000638771.";"0332";"2024-01-06";"2023-12-18";" 0000000000000010.24"
" 000000000000966679.";"0978";"2024-01-02";"2023-12-18";" 0000000000000003.18"
" 000000000000626218.";"0486";"2024-01-09";"2023-12-18";" 0000000000000001.27"
" 000000000000638771.";"0978";"2023-12-18";"2023-12-18";" 0000000000000007.40"
" 000000000000626218.";"0978";"2023-12-20";"2023-12-18";" 0000000000000001.45"
" 000000000000638771.";"0332";"2023-12-29";"2023-12-18";" 0000000000000010.92"
" 000000000000638771.";"0067";"2023-12-27";"2023-12-18";" 0000000000000018.20"
" 000000000000966668.";"0328";"2023-12-28";"2023-12-18";" 0000000000000045.12"
" 000000000000966669.";"0328";"2023-12-28";"2023-12-18";" 0000000000000043.06"
" 000000000000966670.";"0328";"2023-12-28";"2023-12-18";" 0000000000000010.19"
" 000000000000638771.";"0978";"2024-01-06";"2023-12-18";" 0000000000000010.55"
" 000000000000966668.";"0332";"2023-12-23";"2023-12-18";" 0000000000000046.28"
" 000000000000966669.";"0332";"2023-12-23";"2023-12-18";" 0000000000000057.60"
" 000000000000966670.";"0332";"2023-12-23";"2023-12-18";" 0000000000000006.55"
" 000000000000966679.";"0332";"2023-12-23";"2023-12-18";" 0000000000000002.68"
" 000000000000571581.";"0332";"2024-01-04";"2023-12-18";" 0000000000000001.53"
" 000000000000632861.";"0332";"2024-01-04";"2023-12-18";" 0000000000000002.58"
" 000000000000638484.";"0332";"2024-01-04";"2023-12-18";" 0000000000000003.26"
" 000000000000966669.";"0978";"2024-01-10";"2023-12-18";" 0000000000000032.43"
" 000000000000966670.";"0978";"2024-01-10";"2023-12-18";" 0000000000000004.57"
" 000000000000966679.";"0978";"2024-01-10";"2023-12-18";" 0000000000000002.59"
" 000000000000571581.";"0978";"2023-12-18";"2023-12-18";" 0000000000000000.83"
" 000000000000632861.";"0328";"2023-12-19";"2023-12-18";" 0000000000000000.90"
" 000000000000638771.";"0328";"2023-12-31";"2023-12-18";" 0000000000000041.69"
" 000000000000571581.";"0486";"2023-12-29";"2023-12-18";" 0000000000000000.82"
" 000000000000966679.";"0067";"2023-12-31";"2023-12-18";" 0000000000000004.69"
" 000000000000626218.";"0486";"2023-12-18";"2023-12-18";" 0000000000000001.24"
" 000000000000632861.";"0978";"2023-12-22";"2023-12-18";" 0000000000000001.56"
" 000000000000632861.";"0067";"2023-12-29";"2023-12-18";" 0000000000000001.25"
" 000000000000638771.";"0486";"2023-12-20";"2023-12-18";" 0000000000000010.48"
" 000000000000571581.";"0978";"2023-12-30";"2023-12-18";" 0000000000000021.01"
" 000000000000858091.";"0486";"2023-12-19";"2023-12-18";" 0000000000000001.43"
" 000000000000966668.";"0486";"2023-12-19";"2023-12-18";" 0000000000000019.27"
" 000000000000632861.";"0978";"2024-01-08";"2023-12-18";" 0000000000000001.45"
" 000000000000638484.";"0978";"2024-01-08";"2023-12-18";" 0000000000000000.20"
" 000000000000966679.";"0332";"2023-12-27";"2023-12-18";" 0000000000000002.47"
" 000000000000571581.";"0328";"2024-01-02";"2023-12-18";" 0000000000000022.85"
" 000000000000966668.";"0328";"2024-01-03";"2023-12-18";" 0000000000000047.58"
" 000000000000966669.";"0328";"2024-01-03";"2023-12-18";" 0000000000000043.59"
" 000000000000966670.";"0328";"2024-01-03";"2023-12-18";" 0000000000000010.89"
" 000000000000626218.";"0332";"2023-12-23";"2023-12-18";" 0000000000000002.43"
" 000000000000626218.";"0067";"2024-01-07";"2023-12-18";" 0000000000000003.12"
" 000000000000632861.";"0328";"2024-01-08";"2023-12-18";" 0000000000000001.17"
" 000000000000638484.";"0328";"2024-01-08";"2023-12-18";" 0000000000000000.34"
" 000000000000571581.";"0328";"2024-01-11";"2023-12-18";" 0000000000000005.31"
" 000000000000632861.";"0328";"2024-01-11";"2023-12-18";" 0000000000000002.20"
" 000000000000966668.";"0328";"2023-12-20";"2023-12-18";" 0000000000000051.74"
" 000000000000638484.";"0328";"2024-01-03";"2023-12-18";" 0000000000000000.36"
" 000000000000626218.";"0486";"2024-01-03";"2023-12-18";" 0000000000000001.32"
" 000000000000649587.";"0067";"2024-01-04";"2023-12-18";" 0000000000000002.01"
" 000000000000638484.";"0486";"2024-01-06";"2023-12-18";" 0000000000000000.27"
" 000000000000571581.";"0978";"2023-12-19";"2023-12-18";" 0000000000000000.83"
" 000000000000858091.";"0328";"2023-12-18";"2023-12-18";" 0000000000000008.83"
" 000000000000966669.";"0486";"2023-12-23";"2023-12-18";" 0000000000000053.44"
" 000000000000966670.";"0486";"2023-12-23";"2023-12-18";" 0000000000000007.89"
" 000000000000638771.";"0486";"2023-12-30";"2023-12-18";" 0000000000000018.21"
" 000000000000966679.";"0328";"2023-12-19";"2023-12-18";" 0000000000000006.05"
" 000000000000632861.";"0332";"2023-12-26";"2023-12-18";" 0000000000000002.42"
" 000000000000638484.";"0332";"2023-12-26";"2023-12-18";" 0000000000000002.90"
" 000000000000858091.";"0978";"2023-12-21";"2023-12-18";" 0000000000000012.27"
" 000000000000638771.";"0067";"2023-12-30";"2023-12-18";" 0000000000000028.12"
" 000000000000571581.";"0486";"2024-01-02";"2023-12-18";" 0000000000000000.63"
" 000000000000858091.";"0978";"2024-01-06";"2023-12-18";" 0000000000000025.08"
" 000000000000966669.";"0067";"2024-01-05";"2023-12-18";" 0000000000000087.65"
" 000000000000966670.";"0067";"2024-01-05";"2023-12-18";" 0000000000000010.61"
" 000000000000966679.";"0067";"2024-01-05";"2023-12-18";" 0000000000000004.11"
" 000000000000858091.";"0486";"2024-01-06";"2023-12-18";" 0000000000000004.68"
" 000000000000632861.";"0328";"2024-01-04";"2023-12-18";" 0000000000000000.93"
" 000000000000858091.";"0328";"2024-01-04";"2023-12-18";" 0000000000000011.83"
" 000000000000858091.";"0978";"2023-12-31";"2023-12-18";" 0000000000000031.14"
" 000000000000966670.";"0978";"2023-12-31";"2023-12-18";" 0000000000000006.57"
" 000000000000966679.";"0978";"2023-12-31";"2023-12-18";" 0000000000000004.49"
" 000000000000638771.";"0332";"2023-12-27";"2023-12-18";" 0000000000000008.01"
" 000000000000638771.";"0978";"2023-12-27";"2023-12-18";" 0000000000000007.48"
" 000000000000966668.";"0978";"2024-01-05";"2023-12-18";" 0000000000000036.27"
" 000000000000966669.";"0978";"2024-01-05";"2023-12-18";" 0000000000000042.82"
" 000000000000966670.";"0978";"2024-01-05";"2023-12-18";" 0000000000000004.86"
" 000000000000966679.";"0978";"2024-01-05";"2023-12-18";" 0000000000000003.14"
" 000000000000632861.";"0328";"2024-01-05";"2023-12-18";" 0000000000000000.99"
" 000000000000638484.";"0978";"2023-12-30";"2023-12-18";" 0000000000000000.34"
" 000000000000966668.";"0067";"2024-01-05";"2023-12-18";" 0000000000000071.90"
" 000000000000638484.";"0332";"2023-12-22";"2023-12-18";" 0000000000000003.91"
" 000000000000571581.";"0328";"2024-01-04";"2023-12-18";" 0000000000000019.48"
" 000000000000638771.";"0332";"2023-12-31";"2023-12-18";" 0000000000000008.36"
" 000000000000966679.";"0486";"2023-12-19";"2023-12-18";" 0000000000000002.01"
" 000000000000638771.";"0328";"2023-12-19";"2023-12-18";" 0000000000000036.19"
" 000000000000966679.";"0486";"2023-12-18";"2023-12-18";" 0000000000000002.04"
" 000000000000571581.";"0332";"2023-12-27";"2023-12-18";" 0000000000000001.58"
" 000000000000966669.";"0332";"2024-01-04";"2023-12-18";" 0000000000000045.05"
" 000000000000966670.";"0332";"2024-01-04";"2023-12-18";" 0000000000000006.19"
" 000000000000966679.";"0332";"2024-01-04";"2023-12-18";" 0000000000000002.60"
" 000000000000571581.";"0486";"2024-01-10";"2023-12-18";" 0000000000000000.46"
" 000000000000632861.";"0486";"2024-01-10";"2023-12-18";" 0000000000000001.11"
" 000000000000571581.";"0486";"2024-01-06";"2023-12-18";" 0000000000000000.72"
" 000000000000632861.";"0486";"2024-01-06";"2023-12-18";" 0000000000000002.29"
" 000000000000626218.";"0332";"2023-12-20";"2023-12-18";" 0000000000000002.00"
" 000000000000632861.";"0328";"2023-12-24";"2023-12-18";" 0000000000000001.06"
" 000000000000571581.";"0978";"2023-12-28";"2023-12-18";" 0000000000000013.42"
" 000000000000638771.";"0067";"2024-01-03";"2023-12-18";" 0000000000000019.97"
" 000000000000858091.";"0332";"2023-12-18";"2023-12-18";" 0000000000000002.88"
" 000000000000632861.";"0067";"2023-12-22";"2023-12-18";" 0000000000000001.14"
" 000000000000966668.";"0328";"2024-01-08";"2023-12-18";" 0000000000000051.29"
" 000000000000966669.";"0328";"2024-01-08";"2023-12-18";" 0000000000000047.32"
" 000000000000966670.";"0328";"2024-01-08";"2023-12-18";" 0000000000000011.13"
" 000000000000626218.";"0067";"2024-01-04";"2023-12-18";" 0000000000000002.83"
" 000000000000966668.";"0978";"2023-12-19";"2023-12-18";" 0000000000000034.73"
" 000000000000966669.";"0978";"2023-12-19";"2023-12-18";" 0000000000000031.36"
" 000000000000571581.";"0978";"2024-01-08";"2023-12-18";" 0000000000000007.98"
" 000000000000966670.";"0332";"2023-12-22";"2023-12-18";" 0000000000000007.03"
" 000000000000966668.";"0486";"2023-12-27";"2023-12-18";" 0000000000000018.56"
" 000000000000626218.";"0328";"2024-01-10";"2023-12-18";" 0000000000000003.94"
" 000000000000571581.";"0332";"2024-01-10";"2023-12-18";" 0000000000000001.20"
" 000000000000966679.";"0978";"2023-12-19";"2023-12-18";" 0000000000000002.92"
" 000000000000638484.";"0486";"2023-12-26";"2023-12-18";" 0000000000000000.20"
" 000000000000858091.";"0486";"2024-01-10";"2023-12-18";" 0000000000000002.56"
" 000000000000966679.";"0067";"2023-12-23";"2023-12-18";" 0000000000000004.28"
" 000000000000571581.";"0332";"2023-12-21";"2023-12-18";" 0000000000000001.23"
" 000000000000966679.";"0328";"2023-12-26";"2023-12-18";" 0000000000000005.91"
